Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,heatingReturnTemperature[C],heatingSupplyTemperature[C],massFlowRateHeating,ChilledWaterReturnTemperature[C],ChilledWaterSupplyTemperature[C],massFlowRateCooling
01/01/2006 12:30,1,1,0,12,30,45000,0,0,0,0,0,0
01/01/2006 12:40,1,1,0,12,40,45600,0,0,0,0,0,0
01/01/2006 12:50,1,1,0,12,50,46200,0,0,0,0,0,0
01/01/2006 13:00,1,1,0,13,0,46800,0,0,0,0,0,0
01/01/2006 13:10,1,1,0,13,10,47400,0,0,0,0,0,0
01/01/2006 13:20,1,1,0,13,20,48000,0,0,0,0,0,0
01/01/2006 13:30,1,1,0,13,30,48600,0,0,0,0,0,0
01/01/2006 13:40,1,1,0,13,40,49200,0,0,0,0,0,0
01/01/2006 13:50,1,1,0,13,50,49800,0,0,0,0,0,0
01/01/2006 14:00,1,1,0,14,0,50400,0,0,0,0,0,0
01/01/2006 14:10,1,1,0,14,10,51000,0,0,0,0,0,0
01/01/2006 14:20,1,1,0,14,20,51600,0,0,0,0,0,0
01/01/2006 14:30,1,1,0,14,30,52200,0,0,0,0,0,0
01/01/2006 14:40,1,1,0,14,40,52800,0,0,0,0,0,0
01/01/2006 14:50,1,1,0,14,50,53400,0,0,0,0,0,0
01/01/2006 15:00,1,1,0,15,0,54000,0,0,0,0,0,0
01/01/2006 15:10,1,1,0,15,10,54600,0,0,0,0,0,0
01/01/2006 15:20,1,1,0,15,20,55200,0,0,0,0,0,0
01/01/2006 15:30,1,1,0,15,30,55800,0,0,0,0,0,0
01/01/2006 15:40,1,1,0,15,40,56400,0,0,0,0,0,0
01/01/2006 15:50,1,1,0,15,50,57000,0,0,0,0,0,0
01/01/2006 16:00,1,1,0,16,0,57600,0,0,0,0,0,0
01/01/2006 16:10,1,1,0,16,10,58200,0,0,0,0,0,0
01/01/2006 16:20,1,1,0,16,20,58800,0,0,0,0,0,0
01/01/2006 16:30,1,1,0,16,30,59400,0,0,0,0,0,0
01/01/2006 16:40,1,1,0,16,40,60000,0,0,0,0,0,0
01/01/2006 16:50,1,1,0,16,50,60600,0,0,0,0,0,0
01/01/2006 17:00,1,1,0,17,0,61200,0,0,0,0,0,0
01/01/2006 17:10,1,1,0,17,10,61800,0,0,0,0,0,0
01/01/2006 17:20,1,1,0,17,20,62400,0,0,0,0,0,0
01/01/2006 17:30,1,1,0,17,30,63000,0,0,0,0,0,0
01/01/2006 17:40,1,1,0,17,40,63600,0,0,0,0,0,0
01/01/2006 17:50,1,1,0,17,50,64200,0,0,0,0,0,0
01/01/2006 18:00,1,1,0,18,0,64800,0,0,0,0,0,0
01/01/2006 18:10,1,1,0,18,10,65400,0,0,0,0,0,0
01/01/2006 18:20,1,1,0,18,20,66000,0,0,0,0,0,0
01/01/2006 18:30,1,1,0,18,30,66600,0,0,0,0,0,0
01/01/2006 18:40,1,1,0,18,40,67200,0,0,0,0,0,0
01/01/2006 18:50,1,1,0,18,50,67800,0,0,0,0,0,0
01/01/2006 19:00,1,1,0,19,0,68400,0,0,0,0,0,0
01/01/2006 19:10,1,1,0,19,10,69000,0,0,0,0,0,0
01/01/2006 19:20,1,1,0,19,20,69600,0,0,0,0,0,0
01/01/2006 19:30,1,1,0,19,30,70200,0,0,0,0,0,0
01/01/2006 19:40,1,1,0,19,40,70800,0,0,0,0,0,0
01/01/2006 19:50,1,1,0,19,50,71400,0,0,0,0,0,0
01/01/2006 20:00,1,1,0,20,0,72000,0,0,0,0,0,0
01/01/2006 20:10,1,1,0,20,10,72600,0,0,0,0,0,0
01/01/2006 20:20,1,1,0,20,20,73200,0,0,0,0,0,0
01/01/2006 20:30,1,1,0,20,30,73800,0,0,0,0,0,0
01/01/2006 20:40,1,1,0,20,40,74400,0,0,0,0,0,0
